No.,品番,名称,数量,担当,種別,調達ステータス,想定単価,重量,定義,改訂,ﾌﾟﾛﾀﾞｸﾄ記述
1,HK030-11010,"AMP BRACKET(BLDC-CSCR) 2, Cart",1,メカ,加工品,未手配,1000 ,10,A5052-H34(t=3),2019.8.29 豊島,(元品番 RC010-25010-B)
2,PROP-R501-11,"BOARD SUB-ASSY, MOTOR CONTROL BOARD BLDC",1,電気,加工品,発注済み,2000 ,10,BLDCモータアンプ基板,2017.11.2 三佐尾,萩原電気 サンビーオフィス 旧品番 DXRF6-01650_R501 品番付与　PROP_BLDC_R501_P2　→　PROP-R501-11　12/14　三佐尾
3,CBE3-6,HEXIAGON SOCKET HEAD CAP SCREW,39,メカ,購入品,発注済み,3000 ,10,六角穴付ボルト,2019.2.25 豊島,㈱ミスミ CBE3-6
4,PROP-R501-12,"BOARD SUB-ASSY, MOTOR CONTROL BOARD BLDC",1,電気,加工品,発注済み,1000 ,10,BLDCモータアンプ基板,2017.11.2 三佐尾,萩原電気 サンビーオフィス 旧品番 DXRF6-01650_R501 品番付与　PROP_BLDC_R501_P2　→　PROP-R501-12　12/14　三佐尾
5,RC010-25020-A,AMP COVER,1,電気,加工品,発注済み,2000 ,10,U-PVC 灰色,2017.12.5 三佐尾,"R501(Phase3用)A付 切削形状（材質変更,形状変更） 2018.11.26 嶋村"
6,DXRF6-01790, ,1,電気,加工品,発注済み,3000 ,10, ,2017.12.12 三佐尾,"BOARD SUB-ASSY, SUPER POWER DELIVERY 電気_糸澤設計"
7,HK030-12010,"MAIN PLATE, Cart",1,メカ,加工品,未手配,1000 ,10,A5052-H34(t=6),2019.8.24 豊島,(元品番:HK010-12010-B)
8,HK030-12020,"URG BRACKET 1, Cart",1,メカ,加工品,未手配,2000 ,25,A5052-H112,2019.8.27 豊島,(元品番:HK010-12020)
9,HK030-12030,"URG BRACKET 2, Cart",1,メカ,加工品,未手配,3000 ,25,A5052-H112,2019.8.27 豊島,(元品番:HK010-12030)
10,UST-10LX,測域センサ,1,電気,購入品,発注済み,1000 ,25, ,2019.2.1 豊島,HOKUYO
11,UST-20LX,測域センサ,1,電気,購入品,発注済み,2000 ,25, ,2019.2.1 豊島,HOKUYO
12,KFAPP2-P2.90-L3-B1.5-E1.0-A15,位置決めピン(大頭テーパタイプ),4,メカ,購入品,納品済み,3000 ,25,SKS3相当,2019.1.22 嶋村,㈱ミスミ
13,KFDPP2-P2.90-L3-B1.5-E1.0-A15,位置決めピン(大頭テーパタイプ),4,メカ,購入品,納品済み,1000 ,50,SKS3相当,2019.1.22 嶋村,㈱ミスミ
14,HFS6-3030-105,30mm角アルミフレーム(溝幅8),4,メカ,購入品,納品済み,2000 ,50, ,2019.9.5 豊島,㈱ミスミ
15,HFS6-3030-300,30mm角アルミフレーム(溝幅8),2,メカ,購入品,納品済み,3000 ,50, ,2019.2.6 豊島,㈱ミスミ
16,HFS6-3030-280-LTP,30mm角アルミフレーム(溝幅8),4,メカ,購入品,納品済み,1000 ,50, ,2019.2.6 豊島,㈱ミスミ
17,HBLFSN6,ブラケット,14,メカ,購入品,納品済み,2000 ,50,Misumi-HBLFS6_HBLFSN6-HBLFSNB6-HBLFSNM6-HBLFSNK6_HBLFS6,ANY,ミスミ
18,CBE6-12,HEXIAGON SOCKET HEAD CAP SCREW,61,メカ,購入品,納品済み,3000 ,50,六角穴付ボルト,2019.2.25 豊島,㈱ミスミ CBE6-12
19,HNTT6-6,アルミフレーム用ナット(先入れナット),90,メカ,購入品,納品済み,1000 ,50, , ,㈱ミスミ
20,HBLFSN6-C,突起付ブラケット,4,メカ,購入品,納品済み,2000 ,50, ,2019.9.22 豊島,㈱ミスミ
21,CBE3-10,HEXIAGON SOCKET HEAD CAP SCREW,55,メカ,購入品,納品済み,3000 ,100,六角穴付ボルト,2019.2.25 豊島,㈱ミスミ CBE3-10
22,CBE3-8,HEXIAGON SOCKET HEAD CAP SCREW,85,メカ,購入品,納品済み,1000 ,100,六角穴付ボルト,2019.2.25 豊島,㈱ミスミ CBE3-8
23,HBLSS6,薄型ブラケット,8,メカ,購入品,納品済み,2000 ,100,A6N01SS-T5,2019.2.26 豊島,㈱ミスミ
24,CBE6-10,HEXIAGON SOCKET HEAD CAP SCREW,55,メカ,購入品,納品済み,3000 ,100,六角穴付ボルト,2019.2.25 豊島,㈱ミスミ CBE6-10
25,HNTP6-6,アルミフレーム用後入れナット,12,メカ,購入品,納品済み,1000 ,100, , ,㈱ミスミ
26,HK030-12040,"PLATE SIDE, Cart",2,メカ,加工品,発注済み,1000 ,100,A5052-H34(t=2),2019.8.24 豊島,(元品番:HK010-12040)
27,HK030-12050,"PLATE CENTER, Cart",1,メカ,加工品,発注済み,2000 ,100,A5052-H34(t=2),2019.9.19 豊島, 
28,CBE5-6,HEXIAGON SOCKET HEAD CAP SCREW,10,メカ,購入品,発注済み,3000 ,100,六角穴付ボルト,2019.2.25 豊島,㈱ミスミ CBE5-6 強度区分10.9 三価クロメート
